source_system,activity_id,customer_id,invoice_id,activity_date,activity_type,outcome
SAP_S4HANA_SIM,ACT-SAP-001-1,SAP-C001,SAP-I001-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-001-2,SAP-C001,SAP-I001-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-002-1,SAP-C002,SAP-I002-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-002-2,SAP-C002,SAP-I002-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-003-1,SAP-C003,SAP-I003-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-003-2,SAP-C003,SAP-I003-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-004-1,SAP-C004,SAP-I004-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-004-2,SAP-C004,SAP-I004-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-005-1,SAP-C005,SAP-I005-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-005-2,SAP-C005,SAP-I005-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-006-1,SAP-C006,SAP-I006-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-006-2,SAP-C006,SAP-I006-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-007-1,SAP-C007,SAP-I007-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-007-2,SAP-C007,SAP-I007-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-008-1,SAP-C008,SAP-I008-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-008-2,SAP-C008,SAP-I008-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-009-1,SAP-C009,SAP-I009-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-009-2,SAP-C009,SAP-I009-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-010-1,SAP-C010,SAP-I010-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-010-2,SAP-C010,SAP-I010-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-011-1,SAP-C011,SAP-I011-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-011-2,SAP-C011,SAP-I011-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-012-1,SAP-C012,SAP-I012-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-012-2,SAP-C012,SAP-I012-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-013-1,SAP-C013,SAP-I013-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-013-2,SAP-C013,SAP-I013-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-014-1,SAP-C014,SAP-I014-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-014-2,SAP-C014,SAP-I014-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-015-1,SAP-C015,SAP-I015-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-015-2,SAP-C015,SAP-I015-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-016-1,SAP-C016,SAP-I016-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-016-2,SAP-C016,SAP-I016-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-017-1,SAP-C017,SAP-I017-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-017-2,SAP-C017,SAP-I017-11,2026-07-25,EMAIL,NO_RESPONSE
SAP_S4HANA_SIM,ACT-SAP-018-1,SAP-C018,SAP-I018-11,2026-07-13,CALL,PROMISE_RECEIVED
SAP_S4HANA_SIM,ACT-SAP-018-2,SAP-C018,SAP-I018-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-001-1,ORA-C001,ORA-I001-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-001-2,ORA-C001,ORA-I001-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-002-1,ORA-C002,ORA-I002-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-002-2,ORA-C002,ORA-I002-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-003-1,ORA-C003,ORA-I003-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-003-2,ORA-C003,ORA-I003-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-004-1,ORA-C004,ORA-I004-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-004-2,ORA-C004,ORA-I004-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-005-1,ORA-C005,ORA-I005-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-005-2,ORA-C005,ORA-I005-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-006-1,ORA-C006,ORA-I006-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-006-2,ORA-C006,ORA-I006-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-007-1,ORA-C007,ORA-I007-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-007-2,ORA-C007,ORA-I007-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-008-1,ORA-C008,ORA-I008-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-008-2,ORA-C008,ORA-I008-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-009-1,ORA-C009,ORA-I009-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-009-2,ORA-C009,ORA-I009-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-010-1,ORA-C010,ORA-I010-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-010-2,ORA-C010,ORA-I010-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-011-1,ORA-C011,ORA-I011-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-011-2,ORA-C011,ORA-I011-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-012-1,ORA-C012,ORA-I012-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-012-2,ORA-C012,ORA-I012-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-013-1,ORA-C013,ORA-I013-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-013-2,ORA-C013,ORA-I013-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-014-1,ORA-C014,ORA-I014-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-014-2,ORA-C014,ORA-I014-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-015-1,ORA-C015,ORA-I015-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-015-2,ORA-C015,ORA-I015-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-016-1,ORA-C016,ORA-I016-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-016-2,ORA-C016,ORA-I016-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-017-1,ORA-C017,ORA-I017-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-017-2,ORA-C017,ORA-I017-11,2026-07-25,EMAIL,NO_RESPONSE
ORACLE_FUSION_SIM,ACT-ORA-018-1,ORA-C018,ORA-I018-11,2026-07-13,CALL,PROMISE_RECEIVED
ORACLE_FUSION_SIM,ACT-ORA-018-2,ORA-C018,ORA-I018-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-001-1,NET-C001,NET-I001-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-001-2,NET-C001,NET-I001-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-002-1,NET-C002,NET-I002-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-002-2,NET-C002,NET-I002-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-003-1,NET-C003,NET-I003-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-003-2,NET-C003,NET-I003-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-004-1,NET-C004,NET-I004-11,2026-07-13,CALL,PROMISE_RECEIVED
