source_system,customer_id,customer_name,country,credit_risk,payment_terms_days
SAP_S4HANA_SIM,SAP-C001,Synthetic Customer 1-001,US,LOW,45
SAP_S4HANA_SIM,SAP-C002,Synthetic Customer 1-002,CA,MEDIUM,30
SAP_S4HANA_SIM,SAP-C003,Synthetic Customer 1-003,US,HIGH,60
SAP_S4HANA_SIM,SAP-C004,Synthetic Customer 1-004,US,HIGH,30
SAP_S4HANA_SIM,SAP-C005,Synthetic Customer 1-005,US,MEDIUM,30
SAP_S4HANA_SIM,SAP-C006,Synthetic Customer 1-006,CA,HIGH,60
SAP_S4HANA_SIM,SAP-C007,Synthetic Customer 1-007,US,LOW,60
SAP_S4HANA_SIM,SAP-C008,Synthetic Customer 1-008,CA,HIGH,60
SAP_S4HANA_SIM,SAP-C009,Synthetic Customer 1-009,GB,MEDIUM,45
SAP_S4HANA_SIM,SAP-C010,Synthetic Customer 1-010,CA,MEDIUM,45
SAP_S4HANA_SIM,SAP-C011,Synthetic Customer 1-011,CA,MEDIUM,30
SAP_S4HANA_SIM,SAP-C012,Synthetic Customer 1-012,US,HIGH,45
SAP_S4HANA_SIM,SAP-C013,Synthetic Customer 1-013,US,MEDIUM,45
SAP_S4HANA_SIM,SAP-C014,Synthetic Customer 1-014,DE,MEDIUM,30
SAP_S4HANA_SIM,SAP-C015,Synthetic Customer 1-015,GB,MEDIUM,60
SAP_S4HANA_SIM,SAP-C016,Synthetic Customer 1-016,CA,HIGH,60
SAP_S4HANA_SIM,SAP-C017,Synthetic Customer 1-017,US,HIGH,30
SAP_S4HANA_SIM,SAP-C018,Synthetic Customer 1-018,GB,MEDIUM,45
ORACLE_FUSION_SIM,ORA-C001,Synthetic Customer 2-001,US,MEDIUM,45
ORACLE_FUSION_SIM,ORA-C002,Synthetic Customer 2-002,US,MEDIUM,45
ORACLE_FUSION_SIM,ORA-C003,Synthetic Customer 2-003,US,HIGH,45
ORACLE_FUSION_SIM,ORA-C004,Synthetic Customer 2-004,DE,MEDIUM,30
ORACLE_FUSION_SIM,ORA-C005,Synthetic Customer 2-005,GB,LOW,45
ORACLE_FUSION_SIM,ORA-C006,Synthetic Customer 2-006,GB,MEDIUM,30
ORACLE_FUSION_SIM,ORA-C007,Synthetic Customer 2-007,CA,MEDIUM,60
ORACLE_FUSION_SIM,ORA-C008,Synthetic Customer 2-008,DE,LOW,30
ORACLE_FUSION_SIM,ORA-C009,Synthetic Customer 2-009,US,HIGH,45
ORACLE_FUSION_SIM,ORA-C010,Synthetic Customer 2-010,GB,MEDIUM,30
ORACLE_FUSION_SIM,ORA-C011,Synthetic Customer 2-011,DE,MEDIUM,45
ORACLE_FUSION_SIM,ORA-C012,Synthetic Customer 2-012,US,MEDIUM,60
ORACLE_FUSION_SIM,ORA-C013,Synthetic Customer 2-013,US,MEDIUM,60
ORACLE_FUSION_SIM,ORA-C014,Synthetic Customer 2-014,DE,MEDIUM,60
ORACLE_FUSION_SIM,ORA-C015,Synthetic Customer 2-015,US,MEDIUM,30
ORACLE_FUSION_SIM,ORA-C016,Synthetic Customer 2-016,CA,MEDIUM,60
ORACLE_FUSION_SIM,ORA-C017,Synthetic Customer 2-017,CA,MEDIUM,30
ORACLE_FUSION_SIM,ORA-C018,Synthetic Customer 2-018,DE,MEDIUM,60
NETSUITE_SIM,NET-C001,Synthetic Customer 3-001,CA,MEDIUM,30
NETSUITE_SIM,NET-C002,Synthetic Customer 3-002,CA,HIGH,30
NETSUITE_SIM,NET-C003,Synthetic Customer 3-003,CA,HIGH,45
NETSUITE_SIM,NET-C004,Synthetic Customer 3-004,CA,LOW,30
NETSUITE_SIM,NET-C005,Synthetic Customer 3-005,GB,HIGH,60
NETSUITE_SIM,NET-C006,Synthetic Customer 3-006,US,HIGH,30
NETSUITE_SIM,NET-C007,Synthetic Customer 3-007,DE,MEDIUM,60
NETSUITE_SIM,NET-C008,Synthetic Customer 3-008,GB,MEDIUM,30
NETSUITE_SIM,NET-C009,Synthetic Customer 3-009,DE,HIGH,30
NETSUITE_SIM,NET-C010,Synthetic Customer 3-010,US,MEDIUM,30
NETSUITE_SIM,NET-C011,Synthetic Customer 3-011,US,MEDIUM,30
NETSUITE_SIM,NET-C012,Synthetic Customer 3-012,CA,LOW,45
NETSUITE_SIM,NET-C013,Synthetic Customer 3-013,DE,HIGH,60
NETSUITE_SIM,NET-C014,Synthetic Customer 3-014,CA,MEDIUM,60
NETSUITE_SIM,NET-C015,Synthetic Customer 3-015,DE,HIGH,60
NETSUITE_SIM,NET-C016,Synthetic Customer 3-016,US,MEDIUM,60
NETSUITE_SIM,NET-C017,Synthetic Customer 3-017,GB,MEDIUM,30
NETSUITE_SIM,NET-C018,Synthetic Customer 3-018,US,LOW,30
