source_system,promise_id,customer_id,invoice_id,promise_date,promised_amount,status
SAP_S4HANA_SIM,PTP-SAP-001,SAP-C001,SAP-I001-11,2026-07-19,4824.6,BROKEN
SAP_S4HANA_SIM,PTP-SAP-002,SAP-C002,SAP-I002-11,2026-07-19,4661.09,BROKEN
SAP_S4HANA_SIM,PTP-SAP-003,SAP-C003,SAP-I003-11,2026-07-19,4808.94,BROKEN
SAP_S4HANA_SIM,PTP-SAP-004,SAP-C004,SAP-I004-11,2026-07-19,5117.67,BROKEN
SAP_S4HANA_SIM,PTP-SAP-005,SAP-C005,SAP-I005-11,2026-07-19,5178.89,BROKEN
SAP_S4HANA_SIM,PTP-SAP-006,SAP-C006,SAP-I006-11,2026-07-19,5597.86,BROKEN
SAP_S4HANA_SIM,PTP-SAP-007,SAP-C007,SAP-I007-11,2026-07-19,5728.46,BROKEN
SAP_S4HANA_SIM,PTP-SAP-008,SAP-C008,SAP-I008-11,2026-07-19,5820.27,BROKEN
SAP_S4HANA_SIM,PTP-SAP-009,SAP-C009,SAP-I009-11,2026-07-19,6042.7,BROKEN
SAP_S4HANA_SIM,PTP-SAP-010,SAP-C010,SAP-I010-11,2026-07-19,5497.77,BROKEN
SAP_S4HANA_SIM,PTP-SAP-011,SAP-C011,SAP-I011-11,2026-07-19,6195.52,BROKEN
SAP_S4HANA_SIM,PTP-SAP-012,SAP-C012,SAP-I012-11,2026-07-19,6189.35,BROKEN
SAP_S4HANA_SIM,PTP-SAP-013,SAP-C013,SAP-I013-11,2026-07-19,5902.28,BROKEN
SAP_S4HANA_SIM,PTP-SAP-014,SAP-C014,SAP-I014-11,2026-07-19,6498.24,BROKEN
SAP_S4HANA_SIM,PTP-SAP-015,SAP-C015,SAP-I015-11,2026-07-19,6340.15,BROKEN
SAP_S4HANA_SIM,PTP-SAP-016,SAP-C016,SAP-I016-11,2026-07-19,6735.28,BROKEN
SAP_S4HANA_SIM,PTP-SAP-017,SAP-C017,SAP-I017-11,2026-07-19,7149.94,BROKEN
SAP_S4HANA_SIM,PTP-SAP-018,SAP-C018,SAP-I018-11,2026-07-19,7127.74,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-001,ORA-C001,ORA-I001-11,2026-07-19,4917.8,BROKEN
