source_system,remittance_id,payment_id,invoice_refs,stated_amount
SAP_S4HANA_SIM,R-SAP-P001-01,SAP-P001-01,INV-100101,2304.25
SAP_S4HANA_SIM,R-SAP-P001-02,SAP-P001-02,INV-100102,1458.45
SAP_S4HANA_SIM,R-SAP-P001-03,SAP-P001-03,INV-100103,3319.53
SAP_S4HANA_SIM,R-SAP-P001-04,SAP-P001-04,INV-100104|INV-100105,6207.200000000001
SAP_S4HANA_SIM,R-SAP-P001-05A,SAP-P001-05A,INV-100106,1514.64
SAP_S4HANA_SIM,R-SAP-P001-05B,SAP-P001-05B,INV-100106,1851.22
SAP_S4HANA_SIM,R-SAP-P001-07,SAP-P001-07,INV-100108,4537.84
SAP_S4HANA_SIM,R-SAP-P001-08,SAP-P001-08,INV-100109,4117.46
SAP_S4HANA_SIM,R-SAP-P002-01,SAP-P002-01,INV-100201,2606.6
SAP_S4HANA_SIM,R-SAP-P002-02,SAP-P002-02,INV-100202,1906.31
SAP_S4HANA_SIM,R-SAP-P002-03,SAP-P002-03,INV-100203,2887.16
SAP_S4HANA_SIM,R-SAP-P002-04,SAP-P002-04,INV-100204|INV-100205,7247.4
SAP_S4HANA_SIM,R-SAP-P002-05A,SAP-P002-05A,INV-100206,1684.87
SAP_S4HANA_SIM,R-SAP-P002-05B,SAP-P002-05B,INV-100206,2059.28
SAP_S4HANA_SIM,R-SAP-P002-07,SAP-P002-07,INV-100208,4313.96
SAP_S4HANA_SIM,R-SAP-P002-08,SAP-P002-08,INV-100209,4562.66
SAP_S4HANA_SIM,R-SAP-P003-01,SAP-P003-01,INV-100301,3114.67
SAP_S4HANA_SIM,R-SAP-P003-02,SAP-P003-02,INV-100302,1868.83
SAP_S4HANA_SIM,R-SAP-P003-03,SAP-P003-03,INV-100303,3448.23
SAP_S4HANA_SIM,R-SAP-P003-04,SAP-P003-04,INV-100304|INV-100305,7019.15
SAP_S4HANA_SIM,R-SAP-P003-05A,SAP-P003-05A,INV-100306,1818.24
SAP_S4HANA_SIM,R-SAP-P003-05B,SAP-P003-05B,INV-100306,2222.29
SAP_S4HANA_SIM,R-SAP-P003-07,SAP-P003-07,INV-100308,4993.01
SAP_S4HANA_SIM,R-SAP-P003-08,SAP-P003-08,INV-100309,4623.46
SAP_S4HANA_SIM,R-SAP-P004-01,SAP-P004-01,INV-100401,2591.98
SAP_S4HANA_SIM,R-SAP-P004-02,SAP-P004-02,INV-100402,1726.19
SAP_S4HANA_SIM,R-SAP-P004-03,SAP-P004-03,INV-100403,3660.46
SAP_S4HANA_SIM,R-SAP-P004-04,SAP-P004-04,INV-100404|INV-100405,7279.62
SAP_S4HANA_SIM,R-SAP-P004-05A,SAP-P004-05A,INV-100406,1792.97
SAP_S4HANA_SIM,R-SAP-P004-05B,SAP-P004-05B,INV-100406,2191.41
SAP_S4HANA_SIM,R-SAP-P004-07,SAP-P004-07,INV-100408,4964.45
SAP_S4HANA_SIM,R-SAP-P004-08,SAP-P004-08,INV-100409,4624.2
SAP_S4HANA_SIM,R-SAP-P005-01,SAP-P005-01,INV-100501,3363.45
SAP_S4HANA_SIM,R-SAP-P005-02,SAP-P005-02,INV-100502,2129.97
SAP_S4HANA_SIM,R-SAP-P005-03,SAP-P005-03,INV-100503,3469.91
SAP_S4HANA_SIM,R-SAP-P005-04,SAP-P005-04,INV-100504|INV-100505,7562.42
SAP_S4HANA_SIM,R-SAP-P005-05A,SAP-P005-05A,INV-100506,1942.08
SAP_S4HANA_SIM,R-SAP-P005-05B,SAP-P005-05B,INV-100506,2373.66
SAP_S4HANA_SIM,R-SAP-P005-07,SAP-P005-07,INV-100508,5320.52
SAP_S4HANA_SIM,R-SAP-P005-08,SAP-P005-08,INV-100509,4796.34
SAP_S4HANA_SIM,R-SAP-P006-01,SAP-P006-01,INV-100601,3006.53
SAP_S4HANA_SIM,R-SAP-P006-02,SAP-P006-02,INV-100602,1968.4
SAP_S4HANA_SIM,R-SAP-P006-03,SAP-P006-03,INV-100603,3767.75
SAP_S4HANA_SIM,R-SAP-P006-04,SAP-P006-04,INV-100604|INV-100605,7792.639999999999
SAP_S4HANA_SIM,R-SAP-P006-05A,SAP-P006-05A,INV-100606,1821.72
SAP_S4HANA_SIM,R-SAP-P006-05B,SAP-P006-05B,INV-100606,2226.54
SAP_S4HANA_SIM,R-SAP-P006-07,SAP-P006-07,INV-100608,5136.54
