applicationid,payment_internalid,applied_tranids,appliedamount
R-NET-P001-01,NET-P001-01,INV-300101,2218.93
R-NET-P001-02,NET-P001-02,INV-300102,1592.35
R-NET-P001-03,NET-P001-03,INV-300103,3178.5
R-NET-P001-04,NET-P001-04,INV-300104|INV-300105,6699.84
R-NET-P001-05A,NET-P001-05A,INV-300106,1710.12
R-NET-P001-05B,NET-P001-05B,INV-300106,2090.1400000000003
R-NET-P001-07,NET-P001-07,INV-300108,4724.49
R-NET-P001-08,NET-P001-08,INV-300109,4139.06
R-NET-P002-01,NET-P002-01,INV-300201,2617.96
R-NET-P002-02,NET-P002-02,INV-300202,1567.23
R-NET-P002-03,NET-P002-03,INV-300203,2902.6
R-NET-P002-04,NET-P002-04,INV-300204|INV-300205,6686.02
R-NET-P002-05A,NET-P002-05A,INV-300206,1789.55
R-NET-P002-05B,NET-P002-05B,INV-300206,2187.2300000000005
R-NET-P002-07,NET-P002-07,INV-300208,4572.95
R-NET-P002-08,NET-P002-08,INV-300209,4318.32
R-NET-P003-01,NET-P003-01,INV-300301,2858.33
R-NET-P003-02,NET-P003-02,INV-300302,1987.52
R-NET-P003-03,NET-P003-03,INV-300303,3612.74
R-NET-P003-04,NET-P003-04,INV-300304|INV-300305,7277.83
R-NET-P003-05A,NET-P003-05A,INV-300306,1839.58
R-NET-P003-05B,NET-P003-05B,INV-300306,2248.38
R-NET-P003-07,NET-P003-07,INV-300308,4428.75
R-NET-P003-08,NET-P003-08,INV-300309,4460.18
R-NET-P004-01,NET-P004-01,INV-300401,2562.99
R-NET-P004-02,NET-P004-02,INV-300402,1977.43
R-NET-P004-03,NET-P004-03,INV-300403,3227.79
R-NET-P004-04,NET-P004-04,INV-300404|INV-300405,7041.379999999999
R-NET-P004-05A,NET-P004-05A,INV-300406,1868.92
R-NET-P004-05B,NET-P004-05B,INV-300406,2284.2299999999996
R-NET-P004-07,NET-P004-07,INV-300408,4793.37
R-NET-P004-08,NET-P004-08,INV-300409,4222.12
R-NET-P005-01,NET-P005-01,INV-300501,2779.25
R-NET-P005-02,NET-P005-02,INV-300502,1920.15
R-NET-P005-03,NET-P005-03,INV-300503,3846.11
R-NET-P005-04,NET-P005-04,INV-300504|INV-300505,7618.3
R-NET-P005-05A,NET-P005-05A,INV-300506,1814.55
R-NET-P005-05B,NET-P005-05B,INV-300506,2217.7799999999997
R-NET-P005-07,NET-P005-07,INV-300508,5098.21
R-NET-P005-08,NET-P005-08,INV-300509,4695.73
R-NET-P006-01,NET-P006-01,INV-300601,3275.16
R-NET-P006-02,NET-P006-02,INV-300602,2122.65
R-NET-P006-03,NET-P006-03,INV-300603,3710.88
R-NET-P006-04,NET-P006-04,INV-300604|INV-300605,7745.01
R-NET-P006-05A,NET-P006-05A,INV-300606,2008.95
R-NET-P006-05B,NET-P006-05B,INV-300606,2455.3900000000003
R-NET-P006-07,NET-P006-07,INV-300608,4792.99
R-NET-P006-08,NET-P006-08,INV-300609,4528.02
R-NET-P007-01,NET-P007-01,INV-300701,3052.25
R-NET-P007-02,NET-P007-02,INV-300702,2304.09
R-NET-P007-03,NET-P007-03,INV-300703,3702.74
R-NET-P007-04,NET-P007-04,INV-300704|INV-300705,8276.11
R-NET-P007-05A,NET-P007-05A,INV-300706,1889.89
R-NET-P007-05B,NET-P007-05B,INV-300706,2309.8599999999997
R-NET-P007-07,NET-P007-07,INV-300708,5106.22
R-NET-P007-08,NET-P007-08,INV-300709,5218.3
R-NET-P008-01,NET-P008-01,INV-300801,3244.78
R-NET-P008-02,NET-P008-02,INV-300802,2366.99
R-NET-P008-03,NET-P008-03,INV-300803,3809.66
R-NET-P008-04,NET-P008-04,INV-300804|INV-300805,8015.76
R-NET-P008-05A,NET-P008-05A,INV-300806,2171.82
R-NET-P008-05B,NET-P008-05B,INV-300806,2654.4500000000003
R-NET-P008-07,NET-P008-07,INV-300808,5433.52
R-NET-P008-08,NET-P008-08,INV-300809,5185.67
