internalid,entity_internalid,invoice_internalid,promisedate,promiseamount,promisestatus
PTP-NET-001,NET-C001,NET-I001-11,2026-07-19,4299.77,BROKEN
PTP-NET-002,NET-C002,NET-I002-11,2026-07-19,4804.22,BROKEN
PTP-NET-003,NET-C003,NET-I003-11,2026-07-19,4954.23,BROKEN
PTP-NET-004,NET-C004,NET-I004-11,2026-07-19,5086.0,BROKEN
PTP-NET-005,NET-C005,NET-I005-11,2026-07-19,5447.81,BROKEN
PTP-NET-006,NET-C006,NET-I006-11,2026-07-19,5388.93,BROKEN
PTP-NET-007,NET-C007,NET-I007-11,2026-07-19,5639.7,BROKEN
PTP-NET-008,NET-C008,NET-I008-11,2026-07-19,5525.95,BROKEN
PTP-NET-009,NET-C009,NET-I009-11,2026-07-19,5392.44,BROKEN
PTP-NET-010,NET-C010,NET-I010-11,2026-07-19,5888.48,BROKEN
PTP-NET-011,NET-C011,NET-I011-11,2026-07-19,5913.26,BROKEN
PTP-NET-012,NET-C012,NET-I012-11,2026-07-19,6389.78,BROKEN
PTP-NET-013,NET-C013,NET-I013-11,2026-07-19,6171.91,BROKEN
PTP-NET-014,NET-C014,NET-I014-11,2026-07-19,6334.35,BROKEN
PTP-NET-015,NET-C015,NET-I015-11,2026-07-19,6866.37,BROKEN
PTP-NET-016,NET-C016,NET-I016-11,2026-07-19,6629.47,BROKEN
PTP-NET-017,NET-C017,NET-I017-11,2026-07-19,7088.37,BROKEN
PTP-NET-018,NET-C018,NET-I018-11,2026-07-19,6900.66,BROKEN
