internalid,entity_internalid,tranid,trandate,duedate,currency,foreigntotal,amountremaining,statusref,testscenario
NET-I001-01,NET-C001,INV-300101,2026-03-31,2026-04-30,USD,2218.93,2218.93,OPEN,EXACT
NET-I001-02,NET-C001,INV-300102,2026-04-06,2026-05-06,USD,2653.92,2653.92,OPEN,PARTIAL
NET-I001-03,NET-C001,INV-300103,2026-04-15,2026-05-15,USD,3053.5,3053.5,OPEN,OVERPAYMENT
NET-I001-04,NET-C001,INV-300104,2026-04-28,2026-05-28,USD,3393.09,3393.09,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I001-05,NET-C001,INV-300105,2026-05-02,2026-06-01,USD,3306.75,3306.75,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I001-06,NET-C001,INV-300106,2026-05-13,2026-06-12,USD,3800.26,3800.26,OPEN,MISSING_REMITTANCE
NET-I001-07,NET-C001,INV-300107,2026-05-21,2026-06-20,EUR,3656.69,3656.69,OPEN,CURRENCY_TOLERANCE
NET-I001-08,NET-C001,INV-300108,2026-05-31,2026-06-30,USD,4295.53,4295.53,OPEN,SHORT_PAY_DEDUCTION
NET-I001-09,NET-C001,INV-300109,2026-06-10,2026-07-10,USD,4239.06,4239.06,OPEN,UNMATCHED_CASH
NET-I001-10,NET-C001,INV-300110,2026-06-20,2026-07-20,USD,4151.61,4151.61,OPEN,OPEN_PAST_DUE
NET-I001-11,NET-C001,INV-300111,2026-07-01,2026-07-31,USD,4299.77,4299.77,OPEN,BROKEN_PROMISE
NET-I001-12,NET-C001,INV-300112,2026-07-04,2026-08-03,USD,4817.8,4817.8,OPEN,EXACT
NET-I002-01,NET-C002,INV-300201,2026-03-29,2026-04-28,USD,2617.96,2617.96,OPEN,EXACT
NET-I002-02,NET-C002,INV-300202,2026-04-10,2026-05-10,USD,2612.05,2612.05,OPEN,PARTIAL
NET-I002-03,NET-C002,INV-300203,2026-04-17,2026-05-17,USD,2777.6,2777.6,OPEN,OVERPAYMENT
NET-I002-04,NET-C002,INV-300204,2026-04-26,2026-05-26,USD,3141.99,3141.99,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I002-05,NET-C002,INV-300205,2026-05-05,2026-06-04,USD,3544.03,3544.03,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I002-06,NET-C002,INV-300206,2026-05-13,2026-06-12,USD,3976.78,3976.78,OPEN,MISSING_REMITTANCE
NET-I002-07,NET-C002,INV-300207,2026-05-23,2026-06-22,EUR,3704.22,3704.22,OPEN,CURRENCY_TOLERANCE
NET-I002-08,NET-C002,INV-300208,2026-06-04,2026-07-04,USD,4157.66,4157.66,OPEN,SHORT_PAY_DEDUCTION
NET-I002-09,NET-C002,INV-300209,2026-06-09,2026-07-09,USD,4418.32,4418.32,OPEN,UNMATCHED_CASH
NET-I002-10,NET-C002,INV-300210,2026-06-19,2026-07-19,USD,4780.76,4780.76,OPEN,OPEN_PAST_DUE
NET-I002-11,NET-C002,INV-300211,2026-06-29,2026-07-29,USD,4804.22,4804.22,OPEN,BROKEN_PROMISE
NET-I002-12,NET-C002,INV-300212,2026-07-04,2026-08-03,USD,4726.32,4726.32,OPEN,EXACT
NET-I003-01,NET-C003,INV-300301,2026-04-02,2026-05-17,USD,2858.33,2858.33,OPEN,EXACT
NET-I003-02,NET-C003,INV-300302,2026-04-09,2026-05-24,USD,3312.54,3312.54,OPEN,PARTIAL
NET-I003-03,NET-C003,INV-300303,2026-04-16,2026-05-31,USD,3487.74,3487.74,OPEN,OVERPAYMENT
NET-I003-04,NET-C003,INV-300304,2026-04-25,2026-06-09,USD,3683.13,3683.13,OPEN,ONE_PAYMENT_MULTI_INVOICE
