ACTIVITY_ID,CUSTOMER_ID,CUSTOMER_TRX_ID,ACTIVITY_DATE,ACTIVITY_TYPE,OUTCOME_CODE
ACT-ORA-001-1,ORA-C001,ORA-I001-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-001-2,ORA-C001,ORA-I001-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-002-1,ORA-C002,ORA-I002-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-002-2,ORA-C002,ORA-I002-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-003-1,ORA-C003,ORA-I003-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-003-2,ORA-C003,ORA-I003-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-004-1,ORA-C004,ORA-I004-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-004-2,ORA-C004,ORA-I004-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-005-1,ORA-C005,ORA-I005-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-005-2,ORA-C005,ORA-I005-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-006-1,ORA-C006,ORA-I006-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-006-2,ORA-C006,ORA-I006-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-007-1,ORA-C007,ORA-I007-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-007-2,ORA-C007,ORA-I007-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-008-1,ORA-C008,ORA-I008-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-008-2,ORA-C008,ORA-I008-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-009-1,ORA-C009,ORA-I009-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-009-2,ORA-C009,ORA-I009-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-010-1,ORA-C010,ORA-I010-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-010-2,ORA-C010,ORA-I010-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-011-1,ORA-C011,ORA-I011-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-011-2,ORA-C011,ORA-I011-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-012-1,ORA-C012,ORA-I012-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-012-2,ORA-C012,ORA-I012-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-013-1,ORA-C013,ORA-I013-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-013-2,ORA-C013,ORA-I013-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-014-1,ORA-C014,ORA-I014-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-014-2,ORA-C014,ORA-I014-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-015-1,ORA-C015,ORA-I015-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-015-2,ORA-C015,ORA-I015-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-016-1,ORA-C016,ORA-I016-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-016-2,ORA-C016,ORA-I016-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-017-1,ORA-C017,ORA-I017-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-017-2,ORA-C017,ORA-I017-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-ORA-018-1,ORA-C018,ORA-I018-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-ORA-018-2,ORA-C018,ORA-I018-11,2026-07-25,EMAIL,NO_RESPONSE
