DEDUCTION_ID,CUSTOMER_ID,CUSTOMER_TRX_ID,CASH_RECEIPT_ID,REASON_CODE,DEDUCTION_AMOUNT,DEDUCTION_STATUS
D-ORA-P001-08,ORA-C001,ORA-I001-09,ORA-P001-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P002-08,ORA-C002,ORA-I002-09,ORA-P002-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P003-08,ORA-C003,ORA-I003-09,ORA-P003-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P004-08,ORA-C004,ORA-I004-09,ORA-P004-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P005-08,ORA-C005,ORA-I005-09,ORA-P005-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P006-08,ORA-C006,ORA-I006-09,ORA-P006-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P007-08,ORA-C007,ORA-I007-09,ORA-P007-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P008-08,ORA-C008,ORA-I008-09,ORA-P008-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P009-08,ORA-C009,ORA-I009-09,ORA-P009-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P010-08,ORA-C010,ORA-I010-09,ORA-P010-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P011-08,ORA-C011,ORA-I011-09,ORA-P011-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P012-08,ORA-C012,ORA-I012-09,ORA-P012-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P013-08,ORA-C013,ORA-I013-09,ORA-P013-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P014-08,ORA-C014,ORA-I014-09,ORA-P014-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P015-08,ORA-C015,ORA-I015-09,ORA-P015-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P016-08,ORA-C016,ORA-I016-09,ORA-P016-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P017-08,ORA-C017,ORA-I017-09,ORA-P017-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-ORA-P018-08,ORA-C018,ORA-I018-09,ORA-P018-08,FREIGHT_SHORTAGE,100.0,VALIDATED
