PROMISE_ID,CUSTOMER_ID,CUSTOMER_TRX_ID,PROMISE_DATE,PROMISE_AMOUNT,PROMISE_STATUS
PTP-ORA-001,ORA-C001,ORA-I001-11,2026-07-19,4917.8,BROKEN
PTP-ORA-002,ORA-C002,ORA-I002-11,2026-07-19,5039.76,BROKEN
PTP-ORA-003,ORA-C003,ORA-I003-11,2026-07-19,4653.97,BROKEN
PTP-ORA-004,ORA-C004,ORA-I004-11,2026-07-19,5139.75,BROKEN
PTP-ORA-005,ORA-C005,ORA-I005-11,2026-07-19,4984.51,BROKEN
PTP-ORA-006,ORA-C006,ORA-I006-11,2026-07-19,5501.3,BROKEN
PTP-ORA-007,ORA-C007,ORA-I007-11,2026-07-19,5221.24,BROKEN
PTP-ORA-008,ORA-C008,ORA-I008-11,2026-07-19,5256.16,BROKEN
PTP-ORA-009,ORA-C009,ORA-I009-11,2026-07-19,5476.65,BROKEN
PTP-ORA-010,ORA-C010,ORA-I010-11,2026-07-19,5570.69,BROKEN
PTP-ORA-011,ORA-C011,ORA-I011-11,2026-07-19,6141.72,BROKEN
PTP-ORA-012,ORA-C012,ORA-I012-11,2026-07-19,6200.16,BROKEN
PTP-ORA-013,ORA-C013,ORA-I013-11,2026-07-19,5928.73,BROKEN
PTP-ORA-014,ORA-C014,ORA-I014-11,2026-07-19,6093.55,BROKEN
PTP-ORA-015,ORA-C015,ORA-I015-11,2026-07-19,6184.25,BROKEN
PTP-ORA-016,ORA-C016,ORA-I016-11,2026-07-19,6943.57,BROKEN
PTP-ORA-017,ORA-C017,ORA-I017-11,2026-07-19,6463.36,BROKEN
PTP-ORA-018,ORA-C018,ORA-I018-11,2026-07-19,7020.18,BROKEN
