CUSTOMER_TRX_ID,BILL_TO_CUSTOMER_ID,TRX_NUMBER,TRX_DATE,DUE_DATE,INVOICE_CURRENCY_CODE,ORIGINAL_AMOUNT,AMOUNT_DUE_REMAINING,TRX_STATUS,TEST_SCENARIO
ORA-I001-01,ORA-C001,INV-200101,2026-04-02,2026-05-17,USD,2802.58,2802.58,OPEN,EXACT
ORA-I001-02,ORA-C001,INV-200102,2026-04-09,2026-05-24,USD,2701.51,2701.51,OPEN,PARTIAL
ORA-I001-03,ORA-C001,INV-200103,2026-04-18,2026-06-02,USD,3101.53,3101.53,OPEN,OVERPAYMENT
ORA-I001-04,ORA-C001,INV-200104,2026-04-26,2026-06-10,USD,3112.39,3112.39,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I001-05,ORA-C001,INV-200105,2026-05-06,2026-06-20,USD,3430.34,3430.34,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I001-06,ORA-C001,INV-200106,2026-05-12,2026-06-26,USD,3557.38,3557.38,OPEN,MISSING_REMITTANCE
ORA-I001-07,ORA-C001,INV-200107,2026-05-23,2026-07-07,EUR,3610.45,3610.45,OPEN,CURRENCY_TOLERANCE
ORA-I001-08,ORA-C001,INV-200108,2026-05-29,2026-07-13,USD,3670.54,3670.54,OPEN,SHORT_PAY_DEDUCTION
ORA-I001-09,ORA-C001,INV-200109,2026-06-11,2026-07-26,USD,4370.48,4370.48,OPEN,UNMATCHED_CASH
ORA-I001-10,ORA-C001,INV-200110,2026-06-16,2026-07-31,USD,4731.31,4731.31,OPEN,OPEN_PAST_DUE
ORA-I001-11,ORA-C001,INV-200111,2026-06-27,2026-08-11,USD,4917.8,4917.8,OPEN,BROKEN_PROMISE
ORA-I001-12,ORA-C001,INV-200112,2026-07-06,2026-08-20,USD,4618.95,4618.95,OPEN,EXACT
ORA-I002-01,ORA-C002,INV-200201,2026-03-29,2026-05-13,USD,2576.72,2576.72,OPEN,EXACT
ORA-I002-02,ORA-C002,INV-200202,2026-04-11,2026-05-26,USD,3024.58,3024.58,OPEN,PARTIAL
ORA-I002-03,ORA-C002,INV-200203,2026-04-16,2026-05-31,USD,3191.51,3191.51,OPEN,OVERPAYMENT
ORA-I002-04,ORA-C002,INV-200204,2026-04-27,2026-06-11,USD,3278.31,3278.31,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I002-05,ORA-C002,INV-200205,2026-05-07,2026-06-21,USD,3216.18,3216.18,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I002-06,ORA-C002,INV-200206,2026-05-11,2026-06-25,USD,3484.72,3484.72,OPEN,MISSING_REMITTANCE
ORA-I002-07,ORA-C002,INV-200207,2026-05-23,2026-07-07,EUR,4045.21,4045.21,OPEN,CURRENCY_TOLERANCE
ORA-I002-08,ORA-C002,INV-200208,2026-06-04,2026-07-19,USD,4114.76,4114.76,OPEN,SHORT_PAY_DEDUCTION
ORA-I002-09,ORA-C002,INV-200209,2026-06-07,2026-07-22,USD,4117.9,4117.9,OPEN,UNMATCHED_CASH
ORA-I002-10,ORA-C002,INV-200210,2026-06-17,2026-08-01,USD,4403.54,4403.54,OPEN,OPEN_PAST_DUE
ORA-I002-11,ORA-C002,INV-200211,2026-06-29,2026-08-13,USD,5039.76,5039.76,OPEN,BROKEN_PROMISE
ORA-I002-12,ORA-C002,INV-200212,2026-07-09,2026-08-23,USD,5169.42,5169.42,OPEN,EXACT
ORA-I003-01,ORA-C003,INV-200301,2026-03-28,2026-05-12,USD,2624.26,2624.26,OPEN,EXACT
ORA-I003-02,ORA-C003,INV-200302,2026-04-09,2026-05-24,USD,3028.82,3028.82,OPEN,PARTIAL
ORA-I003-03,ORA-C003,INV-200303,2026-04-15,2026-05-30,USD,3118.33,3118.33,OPEN,OVERPAYMENT
ORA-I003-04,ORA-C003,INV-200304,2026-04-26,2026-06-10,USD,3576.01,3576.01,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I003-05,ORA-C003,INV-200305,2026-05-05,2026-06-19,USD,3663.61,3663.61,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I003-06,ORA-C003,INV-200306,2026-05-12,2026-06-26,USD,3991.06,3991.06,OPEN,MISSING_REMITTANCE
ORA-I003-07,ORA-C003,INV-200307,2026-05-25,2026-07-09,EUR,4348.92,4348.92,OPEN,CURRENCY_TOLERANCE
ORA-I003-08,ORA-C003,INV-200308,2026-05-29,2026-07-13,USD,4567.2,4567.2,OPEN,SHORT_PAY_DEDUCTION
ORA-I003-09,ORA-C003,INV-200309,2026-06-11,2026-07-26,USD,4345.87,4345.87,OPEN,UNMATCHED_CASH
ORA-I003-10,ORA-C003,INV-200310,2026-06-21,2026-08-05,USD,4669.83,4669.83,OPEN,OPEN_PAST_DUE
ORA-I003-11,ORA-C003,INV-200311,2026-07-01,2026-08-15,USD,4653.97,4653.97,OPEN,BROKEN_PROMISE
ORA-I003-12,ORA-C003,INV-200312,2026-07-04,2026-08-18,USD,4977.0,4977.0,OPEN,EXACT
