CASE_GUID,KUNNR,BELNR,KUKEY,REASON,CLAIM_AMOUNT,CASE_STATUS
D-SAP-P001-08,SAP-C001,SAP-I001-09,SAP-P001-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P002-08,SAP-C002,SAP-I002-09,SAP-P002-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P003-08,SAP-C003,SAP-I003-09,SAP-P003-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P004-08,SAP-C004,SAP-I004-09,SAP-P004-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P005-08,SAP-C005,SAP-I005-09,SAP-P005-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P006-08,SAP-C006,SAP-I006-09,SAP-P006-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P007-08,SAP-C007,SAP-I007-09,SAP-P007-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P008-08,SAP-C008,SAP-I008-09,SAP-P008-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P009-08,SAP-C009,SAP-I009-09,SAP-P009-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P010-08,SAP-C010,SAP-I010-09,SAP-P010-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P011-08,SAP-C011,SAP-I011-09,SAP-P011-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P012-08,SAP-C012,SAP-I012-09,SAP-P012-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P013-08,SAP-C013,SAP-I013-09,SAP-P013-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P014-08,SAP-C014,SAP-I014-09,SAP-P014-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P015-08,SAP-C015,SAP-I015-09,SAP-P015-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P016-08,SAP-C016,SAP-I016-09,SAP-P016-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P017-08,SAP-C017,SAP-I017-09,SAP-P017-08,FREIGHT_SHORTAGE,100.0,VALIDATED
D-SAP-P018-08,SAP-C018,SAP-I018-09,SAP-P018-08,FREIGHT_SHORTAGE,100.0,VALIDATED
