ACT_GUID,KUNNR,BELNR,ACT_DATE,ACT_TYPE,ACT_OUTCOME
ACT-SAP-001-1,SAP-C001,SAP-I001-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-001-2,SAP-C001,SAP-I001-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-002-1,SAP-C002,SAP-I002-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-002-2,SAP-C002,SAP-I002-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-003-1,SAP-C003,SAP-I003-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-003-2,SAP-C003,SAP-I003-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-004-1,SAP-C004,SAP-I004-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-004-2,SAP-C004,SAP-I004-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-005-1,SAP-C005,SAP-I005-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-005-2,SAP-C005,SAP-I005-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-006-1,SAP-C006,SAP-I006-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-006-2,SAP-C006,SAP-I006-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-007-1,SAP-C007,SAP-I007-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-007-2,SAP-C007,SAP-I007-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-008-1,SAP-C008,SAP-I008-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-008-2,SAP-C008,SAP-I008-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-009-1,SAP-C009,SAP-I009-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-009-2,SAP-C009,SAP-I009-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-010-1,SAP-C010,SAP-I010-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-010-2,SAP-C010,SAP-I010-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-011-1,SAP-C011,SAP-I011-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-011-2,SAP-C011,SAP-I011-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-012-1,SAP-C012,SAP-I012-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-012-2,SAP-C012,SAP-I012-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-013-1,SAP-C013,SAP-I013-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-013-2,SAP-C013,SAP-I013-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-014-1,SAP-C014,SAP-I014-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-014-2,SAP-C014,SAP-I014-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-015-1,SAP-C015,SAP-I015-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-015-2,SAP-C015,SAP-I015-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-016-1,SAP-C016,SAP-I016-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-016-2,SAP-C016,SAP-I016-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-017-1,SAP-C017,SAP-I017-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-017-2,SAP-C017,SAP-I017-11,2026-07-25,EMAIL,NO_RESPONSE
ACT-SAP-018-1,SAP-C018,SAP-I018-11,2026-07-13,CALL,PROMISE_RECEIVED
ACT-SAP-018-2,SAP-C018,SAP-I018-11,2026-07-25,EMAIL,NO_RESPONSE
