PTP_GUID,KUNNR,BELNR,PTP_DATE,PTP_AMOUNT,PTP_STATUS
PTP-SAP-001,SAP-C001,SAP-I001-11,2026-07-19,4824.6,BROKEN
PTP-SAP-002,SAP-C002,SAP-I002-11,2026-07-19,4661.09,BROKEN
PTP-SAP-003,SAP-C003,SAP-I003-11,2026-07-19,4808.94,BROKEN
PTP-SAP-004,SAP-C004,SAP-I004-11,2026-07-19,5117.67,BROKEN
PTP-SAP-005,SAP-C005,SAP-I005-11,2026-07-19,5178.89,BROKEN
PTP-SAP-006,SAP-C006,SAP-I006-11,2026-07-19,5597.86,BROKEN
PTP-SAP-007,SAP-C007,SAP-I007-11,2026-07-19,5728.46,BROKEN
PTP-SAP-008,SAP-C008,SAP-I008-11,2026-07-19,5820.27,BROKEN
PTP-SAP-009,SAP-C009,SAP-I009-11,2026-07-19,6042.7,BROKEN
PTP-SAP-010,SAP-C010,SAP-I010-11,2026-07-19,5497.77,BROKEN
PTP-SAP-011,SAP-C011,SAP-I011-11,2026-07-19,6195.52,BROKEN
PTP-SAP-012,SAP-C012,SAP-I012-11,2026-07-19,6189.35,BROKEN
PTP-SAP-013,SAP-C013,SAP-I013-11,2026-07-19,5902.28,BROKEN
PTP-SAP-014,SAP-C014,SAP-I014-11,2026-07-19,6498.24,BROKEN
PTP-SAP-015,SAP-C015,SAP-I015-11,2026-07-19,6340.15,BROKEN
PTP-SAP-016,SAP-C016,SAP-I016-11,2026-07-19,6735.28,BROKEN
PTP-SAP-017,SAP-C017,SAP-I017-11,2026-07-19,7149.94,BROKEN
PTP-SAP-018,SAP-C018,SAP-I018-11,2026-07-19,7127.74,BROKEN
