REMADV_ID,KUKEY,XBLNR_LIST,WRBTR
R-SAP-P001-01,SAP-P001-01,INV-100101,2304.25
R-SAP-P001-02,SAP-P001-02,INV-100102,1458.45
R-SAP-P001-03,SAP-P001-03,INV-100103,3319.53
R-SAP-P001-04,SAP-P001-04,INV-100104|INV-100105,6207.200000000001
R-SAP-P001-05A,SAP-P001-05A,INV-100106,1514.64
R-SAP-P001-05B,SAP-P001-05B,INV-100106,1851.22
R-SAP-P001-07,SAP-P001-07,INV-100108,4537.84
R-SAP-P001-08,SAP-P001-08,INV-100109,4117.46
R-SAP-P002-01,SAP-P002-01,INV-100201,2606.6
R-SAP-P002-02,SAP-P002-02,INV-100202,1906.31
R-SAP-P002-03,SAP-P002-03,INV-100203,2887.16
R-SAP-P002-04,SAP-P002-04,INV-100204|INV-100205,7247.4
R-SAP-P002-05A,SAP-P002-05A,INV-100206,1684.87
R-SAP-P002-05B,SAP-P002-05B,INV-100206,2059.28
R-SAP-P002-07,SAP-P002-07,INV-100208,4313.96
R-SAP-P002-08,SAP-P002-08,INV-100209,4562.66
R-SAP-P003-01,SAP-P003-01,INV-100301,3114.67
R-SAP-P003-02,SAP-P003-02,INV-100302,1868.83
R-SAP-P003-03,SAP-P003-03,INV-100303,3448.23
R-SAP-P003-04,SAP-P003-04,INV-100304|INV-100305,7019.15
R-SAP-P003-05A,SAP-P003-05A,INV-100306,1818.24
R-SAP-P003-05B,SAP-P003-05B,INV-100306,2222.29
R-SAP-P003-07,SAP-P003-07,INV-100308,4993.01
R-SAP-P003-08,SAP-P003-08,INV-100309,4623.46
R-SAP-P004-01,SAP-P004-01,INV-100401,2591.98
R-SAP-P004-02,SAP-P004-02,INV-100402,1726.19
R-SAP-P004-03,SAP-P004-03,INV-100403,3660.46
R-SAP-P004-04,SAP-P004-04,INV-100404|INV-100405,7279.62
R-SAP-P004-05A,SAP-P004-05A,INV-100406,1792.97
R-SAP-P004-05B,SAP-P004-05B,INV-100406,2191.41
R-SAP-P004-07,SAP-P004-07,INV-100408,4964.45
R-SAP-P004-08,SAP-P004-08,INV-100409,4624.2
R-SAP-P005-01,SAP-P005-01,INV-100501,3363.45
R-SAP-P005-02,SAP-P005-02,INV-100502,2129.97
R-SAP-P005-03,SAP-P005-03,INV-100503,3469.91
R-SAP-P005-04,SAP-P005-04,INV-100504|INV-100505,7562.42
R-SAP-P005-05A,SAP-P005-05A,INV-100506,1942.08
R-SAP-P005-05B,SAP-P005-05B,INV-100506,2373.66
R-SAP-P005-07,SAP-P005-07,INV-100508,5320.52
R-SAP-P005-08,SAP-P005-08,INV-100509,4796.34
R-SAP-P006-01,SAP-P006-01,INV-100601,3006.53
R-SAP-P006-02,SAP-P006-02,INV-100602,1968.4
R-SAP-P006-03,SAP-P006-03,INV-100603,3767.75
R-SAP-P006-04,SAP-P006-04,INV-100604|INV-100605,7792.639999999999
R-SAP-P006-05A,SAP-P006-05A,INV-100606,1821.72
R-SAP-P006-05B,SAP-P006-05B,INV-100606,2226.54
R-SAP-P006-07,SAP-P006-07,INV-100608,5136.54
R-SAP-P006-08,SAP-P006-08,INV-100609,4889.28
R-SAP-P007-01,SAP-P007-01,INV-100701,3207.51
R-SAP-P007-02,SAP-P007-02,INV-100702,1954.49
R-SAP-P007-03,SAP-P007-03,INV-100703,3650.15
R-SAP-P007-04,SAP-P007-04,INV-100704|INV-100705,7710.110000000001
R-SAP-P007-05A,SAP-P007-05A,INV-100706,2086.71
R-SAP-P007-05B,SAP-P007-05B,INV-100706,2550.4300000000003
R-SAP-P007-07,SAP-P007-07,INV-100708,5550.5
R-SAP-P007-08,SAP-P007-08,INV-100709,4593.41
R-SAP-P008-01,SAP-P008-01,INV-100801,3239.93
R-SAP-P008-02,SAP-P008-02,INV-100802,2397.66
R-SAP-P008-03,SAP-P008-03,INV-100803,4169.02
R-SAP-P008-04,SAP-P008-04,INV-100804|INV-100805,8249.68
R-SAP-P008-05A,SAP-P008-05A,INV-100806,2031.3
R-SAP-P008-05B,SAP-P008-05B,INV-100806,2482.7
R-SAP-P008-07,SAP-P008-07,INV-100808,5781.47
R-SAP-P008-08,SAP-P008-08,INV-100809,5290.94
R-SAP-P009-01,SAP-P009-01,INV-100901,3465.32
R-SAP-P009-02,SAP-P009-02,INV-100902,2466.01
R-SAP-P009-03,SAP-P009-03,INV-100903,4111.8
R-SAP-P009-04,SAP-P009-04,INV-100904|INV-100905,9038.61
R-SAP-P009-05A,SAP-P009-05A,INV-100906,2018.09
R-SAP-P009-05B,SAP-P009-05B,INV-100906,2466.55
R-SAP-P009-07,SAP-P009-07,INV-100908,5478.61
R-SAP-P009-08,SAP-P009-08,INV-100909,5138.73
R-SAP-P010-01,SAP-P010-01,INV-101001,3862.25
R-SAP-P010-02,SAP-P010-02,INV-101002,2266.07
R-SAP-P010-03,SAP-P010-03,INV-101003,4103.78
R-SAP-P010-04,SAP-P010-04,INV-101004|INV-101005,8571.06
R-SAP-P010-05A,SAP-P010-05A,INV-101006,2010.09
R-SAP-P010-05B,SAP-P010-05B,INV-101006,2456.7699999999995
R-SAP-P010-07,SAP-P010-07,INV-101008,6097.31
R-SAP-P010-08,SAP-P010-08,INV-101009,5487.86
R-SAP-P011-01,SAP-P011-01,INV-101101,3589.96
R-SAP-P011-02,SAP-P011-02,INV-101102,2472.55
R-SAP-P011-03,SAP-P011-03,INV-101103,4349.46
R-SAP-P011-04,SAP-P011-04,INV-101104|INV-101105,9642.85
R-SAP-P011-05A,SAP-P011-05A,INV-101106,2313.24
R-SAP-P011-05B,SAP-P011-05B,INV-101106,2827.3
R-SAP-P011-07,SAP-P011-07,INV-101108,6205.98
R-SAP-P011-08,SAP-P011-08,INV-101109,5757.57
R-SAP-P012-01,SAP-P012-01,INV-101201,4260.05
R-SAP-P012-02,SAP-P012-02,INV-101202,2436.83
R-SAP-P012-03,SAP-P012-03,INV-101203,4558.58
R-SAP-P012-04,SAP-P012-04,INV-101204|INV-101205,9705.6
R-SAP-P012-05A,SAP-P012-05A,INV-101206,2155.83
R-SAP-P012-05B,SAP-P012-05B,INV-101206,2634.91
R-SAP-P012-07,SAP-P012-07,INV-101208,5675.13
R-SAP-P012-08,SAP-P012-08,INV-101209,5547.19
R-SAP-P013-01,SAP-P013-01,INV-101301,4385.61
R-SAP-P013-02,SAP-P013-02,INV-101302,2779.82
R-SAP-P013-03,SAP-P013-03,INV-101303,4555.5
R-SAP-P013-04,SAP-P013-04,INV-101304|INV-101305,9496.29
R-SAP-P013-05A,SAP-P013-05A,INV-101306,2241.58
R-SAP-P013-05B,SAP-P013-05B,INV-101306,2739.71
R-SAP-P013-07,SAP-P013-07,INV-101308,6372.69
R-SAP-P013-08,SAP-P013-08,INV-101309,5810.86
R-SAP-P014-01,SAP-P014-01,INV-101401,4595.4
R-SAP-P014-02,SAP-P014-02,INV-101402,2766.58
R-SAP-P014-03,SAP-P014-03,INV-101403,5040.59
R-SAP-P014-04,SAP-P014-04,INV-101404|INV-101405,10040.86
R-SAP-P014-05A,SAP-P014-05A,INV-101406,2510.47
R-SAP-P014-05B,SAP-P014-05B,INV-101406,3068.35
R-SAP-P014-07,SAP-P014-07,INV-101408,6390.01
R-SAP-P014-08,SAP-P014-08,INV-101409,6004.45
R-SAP-P015-01,SAP-P015-01,INV-101501,4636.5
R-SAP-P015-02,SAP-P015-02,INV-101502,2745.43
R-SAP-P015-03,SAP-P015-03,INV-101503,4925.14
R-SAP-P015-04,SAP-P015-04,INV-101504|INV-101505,10444.61
R-SAP-P015-05A,SAP-P015-05A,INV-101506,2382.33
R-SAP-P015-05B,SAP-P015-05B,INV-101506,2911.74
R-SAP-P015-07,SAP-P015-07,INV-101508,6499.22
R-SAP-P015-08,SAP-P015-08,INV-101509,5821.47
R-SAP-P016-01,SAP-P016-01,INV-101601,4347.78
R-SAP-P016-02,SAP-P016-02,INV-101602,2811.98
R-SAP-P016-03,SAP-P016-03,INV-101603,5158.86
R-SAP-P016-04,SAP-P016-04,INV-101604|INV-101605,10299.65
R-SAP-P016-05A,SAP-P016-05A,INV-101606,2367.96
R-SAP-P016-05B,SAP-P016-05B,INV-101606,2894.17
R-SAP-P016-07,SAP-P016-07,INV-101608,6905.71
R-SAP-P016-08,SAP-P016-08,INV-101609,6084.31
R-SAP-P017-01,SAP-P017-01,INV-101701,4789.92
R-SAP-P017-02,SAP-P017-02,INV-101702,3094.68
R-SAP-P017-03,SAP-P017-03,INV-101703,4922.2
R-SAP-P017-04,SAP-P017-04,INV-101704|INV-101705,10614.939999999999
R-SAP-P017-05A,SAP-P017-05A,INV-101706,2704.84
R-SAP-P017-05B,SAP-P017-05B,INV-101706,3305.91
R-SAP-P017-07,SAP-P017-07,INV-101708,6722.66
R-SAP-P017-08,SAP-P017-08,INV-101709,5985.33
R-SAP-P018-01,SAP-P018-01,INV-101801,4901.12
R-SAP-P018-02,SAP-P018-02,INV-101802,3114.51
R-SAP-P018-03,SAP-P018-03,INV-101803,5597.51
R-SAP-P018-04,SAP-P018-04,INV-101804|INV-101805,11156.89
R-SAP-P018-05A,SAP-P018-05A,INV-101806,2702.76
R-SAP-P018-05B,SAP-P018-05B,INV-101806,3303.38
R-SAP-P018-07,SAP-P018-07,INV-101808,6702.13
R-SAP-P018-08,SAP-P018-08,INV-101809,6548.43
