payment_id,customer_id,benchmark_case,payment_amount_usd,matched_invoice_ids,applied_amount_usd,residual_amount_usd,status,match_method,confidence,exception_code,reason,is_duplicate_record
NET-P001-06,NET-C001,MISSING_REMITTANCE,3656.69,,0.0,3656.69,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P003-08,NET-C003,SHORT_PAY_DEDUCTION,4460.18,,0.0,4460.18,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P005-02,NET-C005,PARTIAL,1920.15,,0.0,1920.15,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P005-04,NET-C005,ONE_PAYMENT_MULTI_INVOICE,7618.3,,0.0,7618.3,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P007-03,NET-C007,OVERPAYMENT,3702.74,,0.0,3702.74,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P012-04,NET-C012,ONE_PAYMENT_MULTI_INVOICE,9402.13,,0.0,9402.13,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P012-05A,NET-C012,MULTI_PAYMENT_ONE_INVOICE,2395.43,,0.0,2395.43,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P013-02,NET-C013,PARTIAL,2563.76,,0.0,2563.76,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P015-06,NET-C015,MISSING_REMITTANCE,5956.87,,0.0,5956.87,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P016-01,NET-C016,EXACT,4376.45,NET-I016-01,4376.45,0.0,AUTO_MATCHED,EXACT_REFERENCE_AMOUNT,1.0,,"Exact invoice reference, currency, and amount",False
NET-P016-06,NET-C016,MISSING_REMITTANCE,5641.47,,0.0,5641.47,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
