invoice_id,invoice_number,customer_id,customer_name,open_balance_usd,days_past_due,broken_promise,active_deduction,credit_risk,priority_score,priority,route_to
SAP-I017-11,INV-101711,SAP-C017,Synthetic Customer 1-017,7149.94,0,True,False,HIGH,58.8,HIGH,Collections Team Lead
NET-I015-11,INV-301511,NET-C015,Synthetic Customer 3-015,6866.37,0,True,False,HIGH,57.6,HIGH,Collections Team Lead
SAP-I016-11,INV-101611,SAP-C016,Synthetic Customer 1-016,6735.28,0,True,False,HIGH,57.1,HIGH,Collections Team Lead
NET-I017-11,INV-301711,NET-C017,Synthetic Customer 3-017,7088.37,4,True,False,MEDIUM,55.7,HIGH,Collections Team Lead
SAP-I012-11,INV-101211,SAP-C012,Synthetic Customer 1-012,6189.35,0,True,False,HIGH,54.9,HIGH,Collections Team Lead
NET-I013-11,INV-301311,NET-C013,Synthetic Customer 3-013,6171.91,0,True,False,HIGH,54.8,HIGH,Collections Team Lead
SAP-I018-11,INV-101811,SAP-C018,Synthetic Customer 1-018,7127.74,0,True,False,MEDIUM,54.7,HIGH,Collections Team Lead
ORA-I018-11,INV-201811,ORA-C018,Synthetic Customer 2-018,7020.18,0,True,False,MEDIUM,54.2,HIGH,Collections Team Lead
ORA-I016-11,INV-201611,ORA-C016,Synthetic Customer 2-016,6943.57,0,True,False,MEDIUM,53.9,HIGH,Collections Team Lead
SAP-I008-11,INV-100811,SAP-C008,Synthetic Customer 1-008,5820.27,0,True,False,HIGH,53.4,HIGH,Collections Team Lead
NET-I009-11,INV-300911,NET-C009,Synthetic Customer 3-009,5392.44,5,True,False,HIGH,53.1,HIGH,Collections Team Lead
NET-I016-11,INV-301611,NET-C016,Synthetic Customer 3-016,6629.47,0,True,False,MEDIUM,52.7,HIGH,Collections Team Lead
NET-I006-11,INV-300611,NET-C006,Synthetic Customer 3-006,5388.93,3,True,False,HIGH,52.6,HIGH,Collections Team Lead
SAP-I006-11,INV-100611,SAP-C006,Synthetic Customer 1-006,5597.86,0,True,False,HIGH,52.5,HIGH,Collections Team Lead
SAP-I014-11,INV-101411,SAP-C014,Synthetic Customer 1-014,6498.24,1,True,False,MEDIUM,52.4,HIGH,Collections Team Lead
SAP-I011-11,INV-101111,SAP-C011,Synthetic Customer 1-011,6195.52,5,True,False,MEDIUM,52.4,HIGH,Collections Team Lead
SAP-I004-11,INV-100411,SAP-C004,Synthetic Customer 1-004,5117.67,6,True,False,HIGH,52.3,HIGH,Collections Team Lead
ORA-I017-11,INV-201711,ORA-C017,Synthetic Customer 2-017,6463.36,0,True,False,MEDIUM,52.0,HIGH,Collections Team Lead
ORA-I009-11,INV-200911,ORA-C009,Synthetic Customer 2-009,5476.65,0,True,False,HIGH,52.0,HIGH,Collections Team Lead
NET-I005-11,INV-300511,NET-C005,Synthetic Customer 3-005,5447.81,0,True,False,HIGH,51.9,HIGH,Collections Team Lead
ORA-I015-11,INV-201511,ORA-C015,Synthetic Customer 2-015,6184.25,3,True,False,MEDIUM,51.8,HIGH,Collections Team Lead
SAP-I015-11,INV-101511,SAP-C015,Synthetic Customer 1-015,6340.15,0,True,False,MEDIUM,51.5,HIGH,Collections Team Lead
NET-I014-11,INV-301411,NET-C014,Synthetic Customer 3-014,6334.35,0,True,False,MEDIUM,51.5,HIGH,Collections Team Lead
NET-I010-11,INV-301011,NET-C010,Synthetic Customer 3-010,5888.48,6,True,False,MEDIUM,51.4,HIGH,Collections Team Lead
ORA-I012-11,INV-201211,ORA-C012,Synthetic Customer 2-012,6200.16,0,True,False,MEDIUM,50.9,HIGH,Collections Team Lead
ORA-I011-11,INV-201111,ORA-C011,Synthetic Customer 2-011,6141.72,0,True,False,MEDIUM,50.7,HIGH,Collections Team Lead
NET-I018-11,INV-301811,NET-C018,Synthetic Customer 3-018,6900.66,3,True,False,LOW,50.6,HIGH,Collections Team Lead
ORA-I014-11,INV-201411,ORA-C014,Synthetic Customer 2-014,6093.55,0,True,False,MEDIUM,50.5,HIGH,Collections Team Lead
SAP-I009-11,INV-100911,SAP-C009,Synthetic Customer 1-009,6042.7,0,True,False,MEDIUM,50.3,HIGH,Collections Team Lead
NET-I003-11,INV-300311,NET-C003,Synthetic Customer 3-003,4954.23,0,True,False,HIGH,49.9,MEDIUM,Collections Team Lead
NET-I002-11,INV-300211,NET-C002,Synthetic Customer 3-002,4804.22,2,True,False,HIGH,49.9,MEDIUM,Collections Team Lead
ORA-I013-11,INV-201311,ORA-C013,Synthetic Customer 2-013,5928.73,0,True,False,MEDIUM,49.8,MEDIUM,Collections Team Lead
NET-I011-11,INV-301111,NET-C011,Synthetic Customer 3-011,5913.26,0,True,False,MEDIUM,49.8,MEDIUM,Collections Team Lead
SAP-I013-11,INV-101311,SAP-C013,Synthetic Customer 1-013,5902.28,0,True,False,MEDIUM,49.7,MEDIUM,Collections Team Lead
ORA-I010-11,INV-201011,ORA-C010,Synthetic Customer 2-010,5570.69,3,True,False,MEDIUM,49.3,MEDIUM,Collections Team Lead
ORA-I006-11,INV-200611,ORA-C006,Synthetic Customer 2-006,5501.3,4,True,False,MEDIUM,49.3,MEDIUM,Collections Team Lead
SAP-I003-11,INV-100311,SAP-C003,Synthetic Customer 1-003,4808.94,0,True,False,HIGH,49.3,MEDIUM,Collections Team Lead
NET-I007-11,INV-300711,NET-C007,Synthetic Customer 3-007,5639.7,0,True,False,MEDIUM,48.7,MEDIUM,Collections Team Lead
ORA-I003-11,INV-200311,ORA-C003,Synthetic Customer 2-003,4653.97,0,True,False,HIGH,48.7,MEDIUM,Collections Team Lead
SAP-I005-11,INV-100511,SAP-C005,Synthetic Customer 1-005,5178.89,6,True,False,MEDIUM,48.6,MEDIUM,Collections Team Lead
SAP-I017-07,INV-101707,SAP-C017,Synthetic Customer 1-017,6745.65,38,False,False,HIGH,48.2,MEDIUM,Collections Specialist
NET-I008-11,INV-300811,NET-C008,Synthetic Customer 3-008,5525.95,0,True,False,MEDIUM,48.2,MEDIUM,Collections Team Lead
SAP-I010-11,INV-101011,SAP-C010,Synthetic Customer 1-010,5497.77,0,True,False,MEDIUM,48.1,MEDIUM,Collections Team Lead
ORA-I004-11,INV-200411,ORA-C004,Synthetic Customer 2-004,5139.75,5,True,False,MEDIUM,48.1,MEDIUM,Collections Team Lead
NET-I012-11,INV-301211,NET-C012,Synthetic Customer 3-012,6389.78,0,True,False,LOW,47.7,MEDIUM,Collections Team Lead
ORA-I007-11,INV-200711,ORA-C007,Synthetic Customer 2-007,5221.24,0,True,False,MEDIUM,47.0,MEDIUM,Collections Team Lead
ORA-I002-11,INV-200211,ORA-C002,Synthetic Customer 2-002,5039.76,0,True,False,MEDIUM,46.3,MEDIUM,Collections Team Lead
ORA-I017-07,INV-201707,ORA-C017,Synthetic Customer 2-017,6874.81,42,False,False,MEDIUM,45.9,MEDIUM,Collections Specialist
ORA-I001-11,INV-200111,ORA-C001,Synthetic Customer 2-001,4917.8,0,True,False,MEDIUM,45.8,MEDIUM,Collections Team Lead
SAP-I007-11,INV-100711,SAP-C007,Synthetic Customer 1-007,5728.46,0,True,False,LOW,45.0,MEDIUM,Collections Team Lead
ORA-I008-11,INV-200811,ORA-C008,Synthetic Customer 2-008,5256.16,6,True,False,LOW,44.9,MEDIUM,Collections Team Lead
SAP-I002-11,INV-100211,SAP-C002,Synthetic Customer 1-002,4661.09,0,True,False,MEDIUM,44.7,MEDIUM,Collections Team Lead
NET-I017-07,INV-301707,NET-C017,Synthetic Customer 3-017,6819.42,36,False,False,MEDIUM,43.9,MEDIUM,Collections Specialist
NET-I009-07,INV-300907,NET-C009,Synthetic Customer 3-009,5463.35,40,False,False,HIGH,43.6,MEDIUM,Collections Specialist
NET-I004-11,INV-300411,NET-C004,Synthetic Customer 3-004,5086.0,3,True,False,LOW,43.3,MEDIUM,Collections Team Lead
NET-I001-11,INV-300111,NET-C001,Synthetic Customer 3-001,4299.77,0,True,False,MEDIUM,43.3,MEDIUM,Collections Team Lead
NET-I018-07,INV-301807,NET-C018,Synthetic Customer 3-018,6982.44,42,False,False,LOW,42.3,MEDIUM,Collections Specialist
SAP-I017-02,INV-101702,SAP-C017,Synthetic Customer 1-017,2063.12,82,False,False,HIGH,42.2,MEDIUM,Collections Specialist
ORA-I005-11,INV-200511,ORA-C005,Synthetic Customer 2-005,4984.51,0,True,False,LOW,42.0,MEDIUM,Collections Team Lead
ORA-I015-07,INV-201507,ORA-C015,Synthetic Customer 2-015,6033.13,39,False,False,MEDIUM,41.6,MEDIUM,Collections Specialist
NET-I009-02,INV-300902,NET-C009,Synthetic Customer 3-009,1553.1,87,False,False,HIGH,41.6,MEDIUM,Collections Specialist
SAP-I001-11,INV-100111,SAP-C001,Synthetic Customer 1-001,4824.6,0,True,False,LOW,41.4,MEDIUM,Collections Team Lead
SAP-I004-07,INV-100407,SAP-C004,Synthetic Customer 1-004,4870.31,40,False,False,HIGH,41.3,MEDIUM,Collections Specialist
ORA-I010-07,INV-201007,ORA-C010,Synthetic Customer 2-010,5648.32,42,False,False,MEDIUM,41.0,MEDIUM,Collections Specialist
SAP-I014-07,INV-101407,SAP-C014,Synthetic Customer 1-014,6065.17,36,False,False,MEDIUM,40.9,MEDIUM,Collections Specialist
NET-I010-07,INV-301007,NET-C010,Synthetic Customer 3-010,5619.42,42,False,False,MEDIUM,40.9,MEDIUM,Collections Specialist
NET-I011-07,INV-301107,NET-C011,Synthetic Customer 3-011,5451.95,42,False,False,MEDIUM,40.2,MEDIUM,Collections Specialist
ORA-I009-07,INV-200907,ORA-C009,Synthetic Customer 2-009,5726.01,24,False,False,HIGH,40.0,MEDIUM,Collections Specialist
