payment_id,customer_id,benchmark_case,payment_amount_usd,matched_invoice_ids,applied_amount_usd,residual_amount_usd,status,match_method,confidence,exception_code,reason,is_duplicate_record,route_code,assigned_team
NET-P001-06,NET-C001,MISSING_REMITTANCE,3656.69,,0.0,3656.69,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P007-03,NET-C007,OVERPAYMENT,3702.74,NET-I007-03,3577.74,125.0,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
NET-P015-06,NET-C015,MISSING_REMITTANCE,5956.87,,0.0,5956.87,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P016-06,NET-C016,MISSING_REMITTANCE,5641.47,,0.0,5641.47,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P001-07,ORA-C001,CURRENCY_TOLERANCE,4038.78,ORA-I001-08,3670.54,368.24,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
ORA-P001-09,ORA-C001,UNMATCHED_CASH,3926.99,,0.0,3926.99,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P006-06,ORA-C006,MISSING_REMITTANCE,4655.77,,0.0,4655.77,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P017-09,ORA-C017,UNMATCHED_CASH,5628.68,,0.0,5628.68,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P018-01-DUP,ORA-C018,DUPLICATE_PAYMENT,4723.2,,0.0,0.0,MANUAL_REVIEW,DUPLICATE_DETECTED,0.0,DUPLICATE_PAYMENT,Repeated bank transaction identifier,True,DUPLICATE_PAYMENT,Cash Application Data Steward
SAP-P009-07,SAP-C009,CURRENCY_TOLERANCE,5478.61,SAP-I009-08,4979.67,498.94,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
SAP-P012-06,SAP-C012,MISSING_REMITTANCE,5046.0,,0.0,5046.0,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
SAP-P015-01-DUP,SAP-C015,DUPLICATE_PAYMENT,4636.5,,0.0,0.0,MANUAL_REVIEW,DUPLICATE_DETECTED,0.0,DUPLICATE_PAYMENT,Repeated bank transaction identifier,True,DUPLICATE_PAYMENT,Cash Application Data Steward
SAP-P016-09,SAP-C016,UNMATCHED_CASH,5491.48,,0.0,5491.48,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P001-03,NET-C001,OVERPAYMENT,3178.5,NET-I001-03,3053.5,125.0,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
NET-P001-09,NET-C001,UNMATCHED_CASH,3445.84,,0.0,3445.84,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P003-06,NET-C003,MISSING_REMITTANCE,3726.37,,0.0,3726.37,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P004-03,NET-C004,OVERPAYMENT,3227.79,NET-I004-03,3102.79,125.0,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
NET-P012-01-DUP,NET-C012,DUPLICATE_PAYMENT,4138.47,,0.0,0.0,MANUAL_REVIEW,DUPLICATE_DETECTED,0.0,DUPLICATE_PAYMENT,Repeated bank transaction identifier,True,DUPLICATE_PAYMENT,Cash Application Data Steward
NET-P013-06,NET-C013,MISSING_REMITTANCE,5442.14,,0.0,5442.14,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P003-07,ORA-C003,CURRENCY_TOLERANCE,5022.67,ORA-I003-08,4567.2,455.47,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
ORA-P012-07,ORA-C012,CURRENCY_TOLERANCE,6344.91,ORA-I012-08,5769.04,575.87,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
SAP-P004-06,SAP-C004,MISSING_REMITTANCE,4427.55,,0.0,4427.55,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P005-07,NET-C005,CURRENCY_TOLERANCE,5098.21,NET-I005-08,4635.53,462.68,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
NET-P010-07,NET-C010,CURRENCY_TOLERANCE,5950.48,NET-I010-08,5409.95,540.53,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False,OVERPAYMENT_RESIDUAL,Customer Credit Analyst
NET-P011-06,NET-C011,MISSING_REMITTANCE,4956.32,,0.0,4956.32,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
NET-P016-09,NET-C016,UNMATCHED_CASH,5512.62,,0.0,5512.62,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P002-06,ORA-C002,MISSING_REMITTANCE,4045.21,,0.0,4045.21,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
ORA-P004-06,ORA-C004,MISSING_REMITTANCE,3934.71,,0.0,3934.71,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False,UNMATCHED_CASH,Cash Application Analyst
