payment_id,invoice_id,applied_amount_usd,method
NET-P003-08,NET-I003-09,4460.18,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P005-02,NET-I005-02,1920.15,PARTIAL_REFERENCE
NET-P005-04,NET-I005-04,3772.71,ONE_TO_MANY_REMITTANCE
NET-P005-04,NET-I005-05,3845.59,ONE_TO_MANY_REMITTANCE
NET-P007-03,NET-I007-03,3577.74,OVERPAYMENT_APPLY
NET-P012-04,NET-I012-04,4354.6,ONE_TO_MANY_REMITTANCE
NET-P012-04,NET-I012-05,5047.53,ONE_TO_MANY_REMITTANCE
NET-P012-05A,NET-I012-06,2395.43,PARTIAL_REFERENCE
NET-P013-02,NET-I013-02,2563.76,PARTIAL_REFERENCE
NET-P016-01,NET-I016-01,4376.45,REFERENCE
NET-P018-02,NET-I018-02,3185.95,PARTIAL_REFERENCE
ORA-P001-07,ORA-I001-08,3670.54,OVERPAYMENT_APPLY
ORA-P013-04,ORA-I013-04,4484.91,ONE_TO_MANY_REMITTANCE
ORA-P013-04,ORA-I013-05,4789.88,ONE_TO_MANY_REMITTANCE
ORA-P015-05A,ORA-I015-06,2391.24,PARTIAL_REFERENCE
ORA-P016-02,ORA-I016-02,2771.44,PARTIAL_REFERENCE
ORA-P016-05B,ORA-I016-06,3026.44,PARTIAL_REFERENCE
ORA-P016-09,ORA-I016-05,5218.0,AMOUNT_INFERENCE
ORA-P017-05B,ORA-I017-06,3202.7,PARTIAL_REFERENCE
ORA-P018-01,ORA-I018-01,4723.2,REFERENCE
SAP-P002-08,SAP-I002-09,4562.66,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P003-04,SAP-I003-04,3592.82,ONE_TO_MANY_REMITTANCE
SAP-P003-04,SAP-I003-05,3426.33,ONE_TO_MANY_REMITTANCE
SAP-P003-05A,SAP-I003-06,1818.24,PARTIAL_REFERENCE
SAP-P005-02,SAP-I005-02,2129.97,PARTIAL_REFERENCE
SAP-P009-02,SAP-I009-02,2466.01,PARTIAL_REFERENCE
SAP-P009-07,SAP-I009-08,4979.67,OVERPAYMENT_APPLY
SAP-P010-02,SAP-I010-02,2266.07,PARTIAL_REFERENCE
SAP-P010-05A,SAP-I010-06,2010.09,PARTIAL_REFERENCE
SAP-P015-01,SAP-I015-01,4636.5,REFERENCE
SAP-P018-04,SAP-I018-04,5185.67,ONE_TO_MANY_REMITTANCE
SAP-P018-04,SAP-I018-05,5971.22,ONE_TO_MANY_REMITTANCE
NET-P001-03,NET-I001-03,3053.5,OVERPAYMENT_APPLY
NET-P002-08,NET-I002-09,4318.32,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P002-09,NET-I002-06,3968.03,AMOUNT_INFERENCE
NET-P004-03,NET-I004-03,3102.79,OVERPAYMENT_APPLY
NET-P004-05B,NET-I004-06,2284.23,PARTIAL_REFERENCE
NET-P004-08,NET-I004-09,4222.12,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P006-05A,NET-I006-06,2008.95,PARTIAL_REFERENCE
NET-P010-05B,NET-I010-06,2746.33,PARTIAL_REFERENCE
NET-P010-08,NET-I010-09,5628.73,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P012-01,NET-I012-01,4138.47,REFERENCE
NET-P015-04,NET-I015-04,5112.8,ONE_TO_MANY_REMITTANCE
NET-P015-04,NET-I015-05,5473.1,ONE_TO_MANY_REMITTANCE
NET-P017-01,NET-I017-01,4963.91,REFERENCE
ORA-P003-05A,ORA-I003-06,1795.98,PARTIAL_REFERENCE
ORA-P003-07,ORA-I003-08,4567.2,OVERPAYMENT_APPLY
ORA-P009-05B,ORA-I009-06,2501.0,PARTIAL_REFERENCE
ORA-P012-07,ORA-I012-08,5769.04,OVERPAYMENT_APPLY
SAP-P004-05A,SAP-I004-06,1792.97,PARTIAL_REFERENCE
SAP-P004-08,SAP-I004-09,4624.2,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P005-05A,SAP-I005-06,1942.08,PARTIAL_REFERENCE
SAP-P008-05A,SAP-I008-06,2031.3,PARTIAL_REFERENCE
SAP-P012-05B,SAP-I012-06,2634.91,PARTIAL_REFERENCE
SAP-P013-05B,SAP-I013-06,2739.71,PARTIAL_REFERENCE
SAP-P014-05A,SAP-I014-06,2510.47,PARTIAL_REFERENCE
NET-P002-02,NET-I002-02,1567.23,PARTIAL_REFERENCE
NET-P003-02,NET-I003-02,1987.52,PARTIAL_REFERENCE
NET-P003-04,NET-I003-04,3683.13,ONE_TO_MANY_REMITTANCE
NET-P003-04,NET-I003-05,3594.7,ONE_TO_MANY_REMITTANCE
NET-P004-02,NET-I004-02,1977.43,PARTIAL_REFERENCE
NET-P005-07,NET-I005-08,4635.53,OVERPAYMENT_APPLY
NET-P006-05B,NET-I006-06,2455.39,REFERENCE
NET-P008-08,NET-I008-09,5185.67,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P010-07,NET-I010-08,5409.95,OVERPAYMENT_APPLY
NET-P011-05A,NET-I011-06,2315.4,PARTIAL_REFERENCE
NET-P013-01,NET-I013-01,4214.7,REFERENCE
NET-P014-02,NET-I014-02,2586.49,PARTIAL_REFERENCE
NET-P014-05B,NET-I014-06,3039.96,PARTIAL_REFERENCE
NET-P017-06,NET-I017-08,6198.18,AMOUNT_INFERENCE
ORA-P003-04,ORA-I003-04,3576.01,ONE_TO_MANY_REMITTANCE
ORA-P003-04,ORA-I003-05,3663.61,ONE_TO_MANY_REMITTANCE
ORA-P005-08,ORA-I005-09,4575.96,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P006-07,ORA-I006-08,4926.33,OVERPAYMENT_APPLY
ORA-P007-01,ORA-I007-01,3434.25,REFERENCE
ORA-P010-05B,ORA-I010-06,2607.12,PARTIAL_REFERENCE
ORA-P012-03,ORA-I012-03,4618.7,OVERPAYMENT_APPLY
ORA-P013-05B,ORA-I013-06,2808.27,PARTIAL_REFERENCE
SAP-P005-01,SAP-I005-01,3363.45,REFERENCE
SAP-P006-02,SAP-I006-02,1968.4,PARTIAL_REFERENCE
SAP-P007-02,SAP-I007-02,1954.49,PARTIAL_REFERENCE
SAP-P007-03,SAP-I007-03,3525.15,OVERPAYMENT_APPLY
SAP-P011-04,SAP-I011-04,4675.63,ONE_TO_MANY_REMITTANCE
SAP-P011-04,SAP-I011-05,4967.22,ONE_TO_MANY_REMITTANCE
SAP-P016-03,SAP-I016-03,5033.86,OVERPAYMENT_APPLY
SAP-P017-07,SAP-I017-08,6112.1,OVERPAYMENT_APPLY
NET-P001-07,NET-I001-08,4295.53,OVERPAYMENT_APPLY
NET-P002-05B,NET-I002-06,8.75,OVERPAYMENT_APPLY
NET-P005-05A,NET-I005-06,1814.55,PARTIAL_REFERENCE
NET-P008-03,NET-I008-03,3684.66,OVERPAYMENT_APPLY
NET-P010-02,NET-I010-02,2280.44,PARTIAL_REFERENCE
NET-P011-02,NET-I011-02,2624.24,PARTIAL_REFERENCE
NET-P014-01,NET-I014-01,4203.68,REFERENCE
NET-P014-05A,NET-I014-06,2487.24,REFERENCE
NET-P016-08,NET-I016-09,6011.54,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P001-03,ORA-I001-03,3101.53,OVERPAYMENT_APPLY
ORA-P002-02,ORA-I002-02,1814.75,PARTIAL_REFERENCE
ORA-P008-08,ORA-I008-09,5142.82,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P009-08,ORA-I009-09,5052.03,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P012-05A,ORA-I012-06,2156.11,PARTIAL_REFERENCE
ORA-P013-03,ORA-I013-03,4479.95,OVERPAYMENT_APPLY
ORA-P015-04,ORA-I015-04,4730.55,ONE_TO_MANY_REMITTANCE
ORA-P015-04,ORA-I015-05,5600.61,ONE_TO_MANY_REMITTANCE
ORA-P016-05A,ORA-I016-06,2476.18,REFERENCE
ORA-P016-08,ORA-I016-09,6171.31,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P004-02,SAP-I004-02,1726.19,PARTIAL_REFERENCE
SAP-P006-08,SAP-I006-09,4889.28,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P013-02,SAP-I013-02,2779.82,PARTIAL_REFERENCE
SAP-P013-03,SAP-I013-03,4430.5,OVERPAYMENT_APPLY
SAP-P013-04,SAP-I013-04,4653.33,ONE_TO_MANY_REMITTANCE
SAP-P013-04,SAP-I013-05,4842.96,ONE_TO_MANY_REMITTANCE
SAP-P014-05B,SAP-I014-06,3068.35,REFERENCE
SAP-P014-08,SAP-I014-09,6004.45,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P016-07,SAP-I016-08,6277.41,OVERPAYMENT_APPLY
NET-P002-03,NET-I002-03,2777.6,OVERPAYMENT_APPLY
NET-P018-03,NET-I018-03,4974.2,OVERPAYMENT_APPLY
NET-P018-07,NET-I018-08,6344.15,OVERPAYMENT_APPLY
ORA-P003-02,ORA-I003-02,1817.29,PARTIAL_REFERENCE
ORA-P003-08,ORA-I003-09,4245.87,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P005-02,ORA-I005-02,1880.68,PARTIAL_REFERENCE
ORA-P006-05A,ORA-I006-06,1878.3,PARTIAL_REFERENCE
ORA-P011-05B,ORA-I011-06,2699.16,PARTIAL_REFERENCE
ORA-P014-05A,ORA-I014-06,2439.34,PARTIAL_REFERENCE
ORA-P015-03,ORA-I015-03,4574.76,OVERPAYMENT_APPLY
ORA-P017-01,ORA-I017-01,4588.06,REFERENCE
ORA-P018-05B,ORA-I018-06,3149.27,PARTIAL_REFERENCE
SAP-P001-02,SAP-I001-02,1458.45,PARTIAL_REFERENCE
SAP-P005-05B,SAP-I005-06,2373.66,REFERENCE
SAP-P006-03,SAP-I006-03,3642.75,OVERPAYMENT_APPLY
SAP-P006-07,SAP-I006-08,4669.91,OVERPAYMENT_APPLY
SAP-P007-01,SAP-I007-01,3207.51,REFERENCE
SAP-P008-04,SAP-I008-04,4263.58,ONE_TO_MANY_REMITTANCE
SAP-P008-04,SAP-I008-05,3986.1,ONE_TO_MANY_REMITTANCE
SAP-P012-04,SAP-I012-04,4974.8,ONE_TO_MANY_REMITTANCE
SAP-P012-04,SAP-I012-05,4730.8,ONE_TO_MANY_REMITTANCE
SAP-P014-02,SAP-I014-02,2766.58,PARTIAL_REFERENCE
SAP-P015-08,SAP-I015-09,5821.47,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P016-02,SAP-I016-02,2811.98,PARTIAL_REFERENCE
SAP-P018-05A,SAP-I018-06,2702.76,PARTIAL_REFERENCE
NET-P001-02,NET-I001-02,1592.35,PARTIAL_REFERENCE
NET-P002-04,NET-I002-04,3141.99,ONE_TO_MANY_REMITTANCE
NET-P002-04,NET-I002-05,3544.03,ONE_TO_MANY_REMITTANCE
NET-P003-05A,NET-I003-06,1839.58,PARTIAL_REFERENCE
NET-P004-04,NET-I004-04,3280.68,ONE_TO_MANY_REMITTANCE
NET-P004-04,NET-I004-05,3760.7,ONE_TO_MANY_REMITTANCE
NET-P009-02,NET-I009-02,2329.64,PARTIAL_REFERENCE
NET-P009-04,NET-I009-04,3956.67,ONE_TO_MANY_REMITTANCE
NET-P009-04,NET-I009-05,4729.42,ONE_TO_MANY_REMITTANCE
NET-P015-07,NET-I015-08,5896.64,OVERPAYMENT_APPLY
ORA-P001-08,ORA-I001-09,4270.48,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P013-02,ORA-I013-02,2808.67,PARTIAL_REFERENCE
ORA-P014-01,ORA-I014-01,4458.92,REFERENCE
ORA-P014-07,ORA-I014-08,5874.53,OVERPAYMENT_APPLY
ORA-P018-03,ORA-I018-03,5440.31,OVERPAYMENT_APPLY
ORA-P018-08,ORA-I018-09,6657.92,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P001-07,SAP-I001-08,4126.21,OVERPAYMENT_APPLY
SAP-P003-07,SAP-I003-08,4538.2,OVERPAYMENT_APPLY
SAP-P007-05A,SAP-I007-06,2086.71,PARTIAL_REFERENCE
SAP-P007-07,SAP-I007-08,5046.18,OVERPAYMENT_APPLY
SAP-P011-02,SAP-I011-02,2472.55,PARTIAL_REFERENCE
SAP-P015-05B,SAP-I015-06,2911.74,PARTIAL_REFERENCE
SAP-P016-05A,SAP-I016-06,2367.96,PARTIAL_REFERENCE
NET-P003-07,NET-I003-08,4026.69,OVERPAYMENT_APPLY
NET-P004-07,NET-I004-08,4356.65,OVERPAYMENT_APPLY
NET-P008-02,NET-I008-02,2366.99,PARTIAL_REFERENCE
NET-P009-03,NET-I009-03,3948.1,OVERPAYMENT_APPLY
NET-P012-07,NET-I012-08,5264.9,OVERPAYMENT_APPLY
NET-P015-02,NET-I015-02,2634.31,PARTIAL_REFERENCE
NET-P017-05A,NET-I017-06,2644.1,PARTIAL_REFERENCE
NET-P017-05B,NET-I017-06,3231.67,REFERENCE
NET-P018-08,NET-I018-09,6424.21,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P003-03,ORA-I003-03,3118.33,OVERPAYMENT_APPLY
ORA-P004-08,ORA-I004-09,4758.88,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P005-05A,ORA-I005-06,1940.15,PARTIAL_REFERENCE
ORA-P006-02,ORA-I006-02,1863.4,PARTIAL_REFERENCE
ORA-P006-08,ORA-I006-09,4449.38,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P007-02,ORA-I007-02,2091.28,PARTIAL_REFERENCE
ORA-P010-05A,ORA-I010-06,2133.1,REFERENCE
ORA-P011-04,ORA-I011-04,4550.14,ONE_TO_MANY_REMITTANCE
ORA-P011-04,ORA-I011-05,4519.1,ONE_TO_MANY_REMITTANCE
ORA-P012-02,ORA-I012-02,2555.8,PARTIAL_REFERENCE
ORA-P013-05A,ORA-I013-06,2297.67,REFERENCE
ORA-P017-04,ORA-I017-04,5292.33,ONE_TO_MANY_REMITTANCE
ORA-P017-04,ORA-I017-05,5477.31,ONE_TO_MANY_REMITTANCE
SAP-P002-01,SAP-I002-01,2606.6,REFERENCE
SAP-P002-03,SAP-I002-03,2762.16,OVERPAYMENT_APPLY
SAP-P002-04,SAP-I002-04,3498.58,ONE_TO_MANY_REMITTANCE
SAP-P002-04,SAP-I002-05,3748.82,ONE_TO_MANY_REMITTANCE
SAP-P003-08,SAP-I003-09,4623.46,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P010-04,SAP-I010-04,4049.56,ONE_TO_MANY_REMITTANCE
SAP-P010-04,SAP-I010-05,4521.5,ONE_TO_MANY_REMITTANCE
SAP-P010-08,SAP-I010-09,5487.86,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P012-08,SAP-I012-09,5547.19,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P018-03,SAP-I018-03,5472.51,OVERPAYMENT_APPLY
SAP-P018-05B,SAP-I018-06,3303.38,REFERENCE
NET-P003-01,NET-I003-01,2858.33,REFERENCE
NET-P010-04,NET-I010-04,4695.13,ONE_TO_MANY_REMITTANCE
NET-P010-04,NET-I010-05,4555.22,ONE_TO_MANY_REMITTANCE
NET-P012-05B,NET-I012-06,2927.74,REFERENCE
NET-P014-08,NET-I014-09,5560.57,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P017-08,NET-I017-09,6025.85,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P004-03,ORA-I004-03,3289.08,OVERPAYMENT_APPLY
ORA-P004-05B,ORA-I004-06,2012.56,PARTIAL_REFERENCE
ORA-P005-01,ORA-I005-01,2850.0,REFERENCE
ORA-P009-07,ORA-I009-08,5322.25,OVERPAYMENT_APPLY
ORA-P011-02,ORA-I011-02,2358.68,PARTIAL_REFERENCE
ORA-P011-03,ORA-I011-03,4312.83,OVERPAYMENT_APPLY
ORA-P011-07,ORA-I011-08,5211.21,OVERPAYMENT_APPLY
ORA-P011-08,ORA-I011-09,5742.17,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P017-07,ORA-I017-08,6494.74,OVERPAYMENT_APPLY
SAP-P001-03,SAP-I001-03,3194.53,OVERPAYMENT_APPLY
SAP-P008-05B,SAP-I008-06,2482.7,REFERENCE
SAP-P008-07,SAP-I008-08,5256.55,OVERPAYMENT_APPLY
SAP-P013-01,SAP-I013-01,4385.61,REFERENCE
SAP-P016-05B,SAP-I016-06,2894.17,REFERENCE
SAP-P018-07,SAP-I018-08,6092.83,OVERPAYMENT_APPLY
NET-P001-01,NET-I001-01,2218.93,REFERENCE
NET-P001-05A,NET-I001-06,1710.12,PARTIAL_REFERENCE
NET-P003-03,NET-I003-03,3487.74,OVERPAYMENT_APPLY
NET-P005-01,NET-I005-01,2779.25,REFERENCE
NET-P005-08,NET-I005-09,4695.73,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P006-03,NET-I006-03,3585.88,OVERPAYMENT_APPLY
NET-P007-01,NET-I007-01,3052.25,REFERENCE
NET-P011-07,NET-I011-08,5433.08,OVERPAYMENT_APPLY
NET-P013-07,NET-I013-08,5345.69,OVERPAYMENT_APPLY
NET-P014-04,NET-I014-04,5169.23,ONE_TO_MANY_REMITTANCE
NET-P014-04,NET-I014-05,4999.72,ONE_TO_MANY_REMITTANCE
NET-P015-05B,NET-I015-06,2998.93,PARTIAL_REFERENCE
NET-P018-04,NET-I018-04,5725.23,ONE_TO_MANY_REMITTANCE
NET-P018-04,NET-I018-05,5401.11,ONE_TO_MANY_REMITTANCE
ORA-P004-01,ORA-I004-01,2913.71,REFERENCE
ORA-P004-02,ORA-I004-02,1763.59,PARTIAL_REFERENCE
ORA-P004-07,ORA-I004-08,4060.03,OVERPAYMENT_APPLY
ORA-P007-07,ORA-I007-08,5005.41,OVERPAYMENT_APPLY
ORA-P008-02,ORA-I008-02,2263.79,PARTIAL_REFERENCE
ORA-P008-04,ORA-I008-04,4219.18,ONE_TO_MANY_REMITTANCE
ORA-P008-04,ORA-I008-05,4433.48,ONE_TO_MANY_REMITTANCE
ORA-P009-02,ORA-I009-02,2429.07,PARTIAL_REFERENCE
ORA-P010-01,ORA-I010-01,3564.93,REFERENCE
ORA-P016-04,ORA-I016-04,4928.41,OVERPAYMENT_APPLY
SAP-P004-07,SAP-I004-08,4512.2,OVERPAYMENT_APPLY
SAP-P005-08,SAP-I005-09,4796.34,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P009-03,SAP-I009-03,3986.8,OVERPAYMENT_APPLY
