payment_id,customer_id,benchmark_case,payment_amount_usd,matched_invoice_ids,applied_amount_usd,residual_amount_usd,status,match_method,confidence,exception_code,reason,is_duplicate_record
NET-P001-06,NET-C001,MISSING_REMITTANCE,3656.69,,0.0,3656.69,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P003-08,NET-C003,SHORT_PAY_DEDUCTION,4460.18,NET-I003-09,4460.18,0.0,AUTO_MATCHED,DEDUCTION_SUPPORTED_SHORT_PAY,0.99,,Validated deduction plus payment clears referenced invoice,False
NET-P005-02,NET-C005,PARTIAL,1920.15,NET-I005-02,1920.15,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
NET-P005-04,NET-C005,ONE_PAYMENT_MULTI_INVOICE,7618.3,NET-I005-04;NET-I005-05,7618.3,0.0,AUTO_MATCHED,ONE_TO_MANY_REMITTANCE,0.99,,Payment falls within configured amount tolerance,False
NET-P007-03,NET-C007,OVERPAYMENT,3702.74,NET-I007-03,3577.74,125.0,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False
NET-P012-04,NET-C012,ONE_PAYMENT_MULTI_INVOICE,9402.13,NET-I012-04;NET-I012-05,9402.13,0.0,AUTO_MATCHED,ONE_TO_MANY_REMITTANCE,0.99,,Payment falls within configured amount tolerance,False
NET-P012-05A,NET-C012,MULTI_PAYMENT_ONE_INVOICE,2395.43,NET-I012-06,2395.43,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
NET-P013-02,NET-C013,PARTIAL,2563.76,NET-I013-02,2563.76,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
NET-P015-06,NET-C015,MISSING_REMITTANCE,5956.87,,0.0,5956.87,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P016-01,NET-C016,EXACT,4376.45,NET-I016-01,4376.45,0.0,AUTO_MATCHED,REFERENCE,0.99,,Payment falls within configured amount tolerance,False
NET-P016-06,NET-C016,MISSING_REMITTANCE,5641.47,,0.0,5641.47,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
NET-P018-02,NET-C018,PARTIAL,3185.95,NET-I018-02,3185.95,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
ORA-P001-07,ORA-C001,CURRENCY_TOLERANCE,4038.78,ORA-I001-08,3670.54,368.24,AUTO_APPLIED_WITH_RESIDUAL,OVERPAYMENT_APPLY,0.99,OVERPAYMENT_RESIDUAL,Invoice cleared; residual retained as unapplied customer credit,False
ORA-P001-09,ORA-C001,UNMATCHED_CASH,3926.99,,0.0,3926.99,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
ORA-P006-06,ORA-C006,MISSING_REMITTANCE,4655.77,,0.0,4655.77,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
ORA-P013-04,ORA-C013,ONE_PAYMENT_MULTI_INVOICE,9274.79,ORA-I013-04;ORA-I013-05,9274.79,0.0,AUTO_MATCHED,ONE_TO_MANY_REMITTANCE,0.99,,Payment falls within configured amount tolerance,False
ORA-P015-05A,ORA-C015,MULTI_PAYMENT_ONE_INVOICE,2391.24,ORA-I015-06,2391.24,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
ORA-P016-02,ORA-C016,PARTIAL,2771.44,ORA-I016-02,2771.44,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
ORA-P016-05B,ORA-C016,MULTI_PAYMENT_ONE_INVOICE,3026.44,ORA-I016-06,3026.44,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
ORA-P016-09,ORA-C016,UNMATCHED_CASH,5218.95,ORA-I016-05,5218.0,0.95,AUTO_MATCHED,AMOUNT_INFERENCE,0.93,,Payment falls within configured amount tolerance,False
ORA-P017-05B,ORA-C017,MULTI_PAYMENT_ONE_INVOICE,3202.7,ORA-I017-06,3202.7,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
ORA-P017-09,ORA-C017,UNMATCHED_CASH,5628.68,,0.0,5628.68,MANUAL_REVIEW,UNMATCHED,0.0,UNMATCHED_CASH,No deterministic match found,False
ORA-P018-01,ORA-C018,EXACT,4723.2,ORA-I018-01,4723.2,0.0,AUTO_MATCHED,REFERENCE,0.99,,Payment falls within configured amount tolerance,False
ORA-P018-01-DUP,ORA-C018,DUPLICATE_PAYMENT,4723.2,,0.0,0.0,MANUAL_REVIEW,DUPLICATE_DETECTED,0.0,DUPLICATE_PAYMENT,Repeated bank transaction identifier,True
SAP-P002-08,SAP-C002,SHORT_PAY_DEDUCTION,4562.66,SAP-I002-09,4562.66,0.0,AUTO_MATCHED,DEDUCTION_SUPPORTED_SHORT_PAY,0.99,,Validated deduction plus payment clears referenced invoice,False
SAP-P003-04,SAP-C003,ONE_PAYMENT_MULTI_INVOICE,7019.15,SAP-I003-04;SAP-I003-05,7019.15,0.0,AUTO_MATCHED,ONE_TO_MANY_REMITTANCE,0.99,,Payment falls within configured amount tolerance,False
SAP-P003-05A,SAP-C003,MULTI_PAYMENT_ONE_INVOICE,1818.24,SAP-I003-06,1818.24,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
SAP-P005-02,SAP-C005,PARTIAL,2129.97,SAP-I005-02,2129.97,0.0,AUTO_MATCHED,PARTIAL_REFERENCE,0.99,,Referenced partial payment exceeds configured minimum ratio,False
